Exercise Name,Primary Muscle Group(s),Calories Burned per min / set (avg range),Category,Equipment Required,Description,Difficulty Level
Mobility/Stretch Bridge,Mobility/Stretch,8-17 kcal/min,Mobility,Resistance Band,"This is a mobility exercise that primarily targets the mobility/stretch. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Stretch,Chest,9-20 kcal/min,Mobility,None,"This is a mobility exercise that primarily targets the chest. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Extension,Mobility/Stretch,10-19 kcal/min,Strength,Resistance Band,"This is a strength exercise that primarily targets the mobility/stretch. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Back Elliptical,Back,14-17 kcal/min,Cardio,Dumbbell,"This is a cardio exercise that primarily targets the back. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Mobility/Stretch Jump Rope,Mobility/Stretch,10-13 kcal/min,Cardio,Resistance Band,"This is a cardio exercise that primarily targets the mobility/stretch. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Legs Hollow Hold,Legs,9-17 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the legs. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Clean,Core,15-11 kcal/min,Power,Dumbbell,"This is a power exercise that primarily targets the core. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Snatch,Biceps,7-20 kcal/min,Power,Medicine Ball,"This is a power exercise that primarily targets the biceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Broad Jump,Biceps,15-18 kcal/min,Power,Cable,"This is a power exercise that primarily targets the biceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Jerk,Chest,8-11 kcal/min,Power,None,"This is a power exercise that primarily targets the chest. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Leg Raise,Back,13-12 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the back. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Triceps Side Bend,Triceps,7-12 kcal/min,Core,Medicine Ball,"This is a core exercise that primarily targets the triceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Bird Dog,Full Body,10-17 kcal/min,Rehab,Kettlebell,"This is a rehab exercise that primarily targets the full body. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Push Press,Biceps,4-10 kcal/min,Power,Bodyweight,"This is a power exercise that primarily targets the biceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Leg Raise,Quadriceps,4-19 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the quadriceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Dip,Full Body,14-16 kcal/min,Strength,Barbell,"This is a strength exercise that primarily targets the full body. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Windshield Wiper,Glutes,8-17 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the glutes. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Scapular Retraction,Full Body,11-19 kcal/min,Rehab,Barbell,"This is a rehab exercise that primarily targets the full body. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Hollow Hold,Quadriceps,7-17 kcal/min,Core,Barbell,"This is a core exercise that primarily targets the quadriceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Back Curl,Back,9-12 kcal/min,Strength,None,"This is a strength exercise that primarily targets the back. It is performed using none and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Glutes Run,Glutes,8-17 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the glutes. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Rowing,Back,8-18 kcal/min,Cardio,Bodyweight,"This is a cardio exercise that primarily targets the back. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Pull,Shoulders,7-18 kcal/min,Strength,Kettlebell,"This is a strength exercise that primarily targets the shoulders. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Twist,Legs,10-13 kcal/min,Mobility,Resistance Band,"This is a mobility exercise that primarily targets the legs. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Reach,Shoulders,8-11 kcal/min,Mobility,Dumbbell,"This is a mobility exercise that primarily targets the shoulders. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Roll,Calves,12-18 kcal/min,Mobility,Resistance Band,"This is a mobility exercise that primarily targets the calves. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Rotation,Shoulders,5-20 kcal/min,Mobility,Resistance Band,"This is a mobility exercise that primarily targets the shoulders. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Press,Triceps,15-17 kcal/min,Strength,None,"This is a strength exercise that primarily targets the triceps. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Triceps Cycle,Triceps,5-16 kcal/min,Cardio,Medicine Ball,"This is a cardio exercise that primarily targets the triceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Windshield Wiper,Legs,4-16 kcal/min,Core,Machine,"This is a core exercise that primarily targets the legs. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Side Bend,Shoulders,8-12 kcal/min,Core,None,"This is a core exercise that primarily targets the shoulders. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Quadriceps Jump Rope,Quadriceps,8-18 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the quadriceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
